USAF,STATION_NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TIMEZONE,ALIAS(ENG),ALIAS(CH),COMMENTS
255030,KORKODON                      ,RUSSIA       ,64.75,153.967,98,11,,,
255510,MARKOVO                       ,RUSSIA       ,64.683,170.417,26,12,,,
255610,TANYURER                      ,RUSSIA       ,64.867,174.417,8,12,,,
255630,UGOLNY                        ,RUSSIA       ,64.735,177.741,59.1,12,,,
255950,CHAYBUKHA                     ,RUSSIA       ,61.95,160.417,1,12,,,
256480,SLAUTNOE                      ,RUSSIA       ,63.2,167.85,44,12,,,
259130,SOKOL                         ,RUSSIA       ,59.911,150.72,175,11,,,
259220,SHELIHOVA                     ,RUSSIA       ,60.717,155.883,33.3,11,,,
259410,CHEMURNAUT                    ,RUSSIA       ,60.733,163.017,14,12,,,
294770,SUHOBUZIMSKOE                 ,RUSSIA       ,56.5,93.283,164,7,,,
303090,BRATSK                        ,RUSSIA       ,56.371,101.698,490.7,8,,,
304330,NIZHNEANGARSK                 ,RUSSIA       ,55.783,109.55,487,8,,,
304930,NAGORNYJ                      ,RUSSIA       ,55.967,124.883,861,9,,,
307100,IRKUTSK                       ,RUSSIA       ,52.268,104.389,510.5,8,,,
307580,KADALA                        ,RUSSIA       ,52.026,113.306,692.5,9,,,
308230,MUKHINO                       ,RUSSIA       ,51.808,107.438,515.1,8,,,
315100,BLAGOVESCENSK                 ,RUSSIA       ,50.283,127.483,169.2,9,,,
315610,KOMSOMOLSK-NA-AMURE           ,RUSSIA       ,50.533,137.033,22,10,,,
318660,SOSUNOVO                      ,RUSSIA       ,46.533,138.333,4,10,,,
319600,VLADIVOSTOK                   ,RUSSIA       ,43.117,131.933,183,10,,,
320100,OHA                           ,RUSSIA       ,53.5,142.9,38,11,,,
320760,POGRANICHNOE                  ,RUSSIA       ,50.4,143.767,8,11,,,
321500,KHOMUTOVO                     ,RUSSIA       ,46.889,142.718,18,11,,,
323630,ESSO                          ,RUSSIA       ,55.933,158.667,481,12,,,
323890,KLJUCHI                       ,RUSSIA       ,56.317,160.833,29,12,,,
325830,PETROPAVLOVSK-KAMCHATSKIJ     ,RUSSIA       ,52.867,158.65,24,12,,,
710720,THUNDER BAY                   ,CANADA       ,48.367,-89.317,199,-5,,,
713950,HALIFAX INTL                  ,CANADA       ,44.881,-63.509,145.4,-4,,,
716270,MONTREAL/TRUDEAU INT          ,CANADA       ,45.467,-73.733,36,-5,,,
716280,OTTAWA MACDONALD CARTIER INTL ,CANADA       ,45.323,-75.669,114,-5,,,
717000,FREDERICTON                   ,CANADA       ,45.867,-66.533,20.7,-4,,,
717140,QUEBEC/JEAN LESAGE INTL  QUE  ,CANADA       ,46.783,-71.383,74,-5,,,
717300,SUDBURY                       ,CANADA       ,46.625,-80.799,347.8,-5,,,
717430,RIVIERE AUX FEUILLES          ,CANADA       ,57.92,-72.98,171,-5,,,
718010,ST JOHNS INTL                 ,CANADA       ,47.619,-52.752,140.5,-3,,,
718160,GOOSE BAY                     ,CANADA       ,53.317,-60.417,48.8,-4,,,
718250,WABUSH                        ,CANADA       ,52.922,-66.864,551.1,-4,,,
718460,LANSDOWNE HOUSE (AUT)  ONT    ,CANADA       ,52.183,-87.933,253,-6,,,
719060,KUUJJUAQ A                    ,CANADA       ,58.1,-68.417,39.3,-5,,,
719090,IQALUIT                       ,CANADA       ,63.756,-68.556,33.5,-5,,,
719104,SANIKILUAQ AIRPORT            ,CANADA       ,56.533,-79.25,32,-5,,,
011510,MOIRANA                       ,NORWAY       ,66.367,14.3,70,1,,,
013170,BERGEN/FLORIDA                ,NORWAY       ,60.383,5.333,36,1,,,
021240,ARJEPLOG                      ,SWEDEN       ,66.05,17.833,432,1,,,
022260,OSTERSUND                     ,SWEDEN       ,63.2,14.5,376,1,,,
022860,UMEA                          ,SWEDEN       ,63.792,20.283,7.3,1,,,
025130,GOTEBORG                      ,SWEDEN       ,57.717,12,2,1,,,
025900,VISBY                         ,SWEDEN       ,57.663,18.346,50,1,,,
028340,VIEREMA KAARAKKALA            ,FINLAND      ,63.833,27.217,207.6,2,,,
072220,NANTES ATLANTIQUE             ,FRANCE       ,47.153,-1.611,27.4,1,,,
105540,ERFURT                        ,GERMANY      ,50.98,10.958,315.8,1,,,
995740,ENVIRONM BUOY 62119           ,UNITED STATES,57,2,0,1,,,
600200,STA. CRUZ DE TENERIFE         ,SPAIN                           ,28.45,-16.25,36,0,,,
602300,MENARA                        ,MOROCCO                         ,31.607,-8.036,467.9,0,,,
606200,TOUAT CHEIKH SIDI MOHAMED BELK,ALGERIA                         ,27.838,-0.186,280.1,1,,,
606560,TINDOUF                       ,ALGERIA                         ,27.7,-8.167,442.9,1,,,
606700,TISKA                         ,ALGERIA                         ,24.293,9.452,968,1,,,
606920,IN GUEZZAM                    ,ALGERIA                         ,19.57,5.75,400,1,,,
607500,THYNA                         ,TUNISIA                         ,34.718,10.691,25.9,1,,,
610170,BILMA                         ,NIGER                           ,18.683,12.917,357,1,,,
610240,AGADEZ                        ,NIGER                           ,16.967,7.967,505.1,1,,,
610490,N'GUIGMI                      ,NIGER                           ,14.25,13.117,286,1,,,
610520,DIORI HAMANI                  ,NIGER                           ,13.482,2.184,223.1,1,,,
612020,TESSALIT                      ,MALI                            ,20.243,0.977,494.1,0,,,
612140,KIDAL                         ,MALI                            ,18.433,1.35,459,0,,,
612230,TOMBOUCTOU                    ,MALI                            ,16.73,-3.008,263,0,,,
612260,GAO                           ,MALI                            ,16.248,-0.005,265.2,0,,,
612910,SENOU                         ,MALI                            ,12.534,-7.95,380.1,0,,,
614040,ZOUERATE                      ,MAURITANIA                      ,22.75,-12.483,343,0,,,
614500,TIDJIKJA                      ,MAURITANIA                      ,18.57,-11.424,401.1,0,,,
622250,TRAGEN                        ,LIBYA                           ,25.933,14.45,421,2,,,
622590,TAZERBO                       ,LIBYA                           ,25.8,21.133,261,2,,,
623980,SOHAG INTL AIRPORT            ,EGYPT                           ,26.333,31.733,92.7,2,,,
624170,SIWA                          ,EGYPT                           ,29.2,25.483,-15,2,,,
624760,SHALATIN                      ,EGYPT                           ,23.133,35.583,21,2,,,
626410,PORT SUDAN                    ,SUDAN                           ,19.583,37.217,3,3,,,
626500,DONGOLA                       ,SUDAN                           ,19.154,30.43,235.6,3,,,
627210,KHARTOUM                      ,SUDAN                           ,15.589,32.553,385.6,3,,,
627900,NYALA                         ,SUDAN                           ,12.05,24.883,643,3,,,
628050,DAMAZIN                       ,SUDAN                           ,11.786,34.337,482.2,3,,,
628400,MALAKAL                       ,SOUTH SUDAN                     ,9.559,31.652,393.5,3,,,
628800,WAU                           ,SOUTH SUDAN                     ,7.7,28.017,438,3,,,
630210,ASMARA INTL                   ,ERITREA                         ,15.292,38.911,2335.1,3,,,
631700,EGAL INTL                     ,SOMALIA                         ,9.518,44.089,1348.1,3,,,
633300,MEKELE                        ,ETHIOPIA                        ,13.467,39.533,2254.3,3,,,
633320,BAHIR DAR                     ,ETHIOPIA                        ,11.608,37.322,1822.1,3,,,
633330,COMBOLCHA/DESSIE              ,ETHIOPIA                        ,11.083,39.717,1864,3,,,
634030,GORE                          ,ETHIOPIA                        ,8.167,35.55,1974,3,,,
634500,BOLE INTL                     ,ETHIOPIA                        ,8.978,38.799,2325.6,3,,,
634710,DIRE DAWA INTL                ,ETHIOPIA                        ,9.625,41.854,1158.8,3,,,
634780,GODE                          ,ETHIOPIA                        ,5.935,43.579,254.2,3,,,
635000,ARBA MINCH                    ,ETHIOPIA                        ,6.039,37.59,1189,3,,,
646590,OBO                           ,CENTRAL AFRICAN REPUBLIC        ,5.4,26.5,651,2,,,
647000,NDJAMENA HASSAN DJAMOUS       ,CHAD                            ,12.134,15.034,295,1,,,
647060,MOUNDOU                       ,CHAD                            ,8.624,16.071,428.9,1,,,
647500,SARH (CIV/MIL)                ,CHAD                            ,9.15,18.383,365,1,,,
647530,FAYA LARGEAU                  ,CHAD                            ,17.917,19.111,235,1,,,
647540,AM-TIMAN                      ,CHAD                            ,11.033,20.283,436,1,,,
647560,ABECHE                        ,CHAD                            ,13.847,20.844,545,1,,,
647570,FADA                          ,CHAD                            ,17.167,21.55,540,1,,,
655030,OUAGADOUGOU                   ,BURKINA FASO                    ,12.353,-1.512,316.1,0,,,
655100,BOBO DIOULASSO                ,BURKINA FASO                    ,11.16,-4.331,460.6,0,,,
655920,TABOU                         ,COTE D'IVOIRE                   ,4.417,-7.367,21,0,,,
085830,MINDELO                       ,CAPE VERDE                      ,16.833,-25.05,20,-1,,,
600150,TENERIFE NORTE                ,SPAIN                           ,28.483,-16.342,631.9,0,,,
646010,BOUAR                         ,CENTRAL AFRICAN REPUBLIC        ,5.967,15.633,1020,1,,,
646500,BANGUI M POKO                 ,CENTRAL AFRICAN REPUBLIC        ,4.398,18.519,368.2,1,,,
646580,BIRAO                         ,CENTRAL AFRICAN REPUBLIC        ,10.283,22.783,464,1,,,
646610,YALINGA                       ,CENTRAL AFRICAN REPUBLIC        ,6.5,23.267,602,1,,,
646620,ALINDAO                       ,CENTRAL AFRICAN REPUBLIC        ,5.05,21.2,449,1,,,
648510,SALAK                         ,CAMEROON                        ,10.451,14.257,424,1,,,
648700,NGAOUNDERE                    ,CAMEROON                        ,7.357,13.559,1114,1,,,
650100,SADIQ ABUBAKAR III INTL       ,NIGERIA                         ,12.916,5.207,307.8,1,,,
650460,MALLAM AMINU INTL             ,NIGERIA                         ,12.048,8.525,476.1,1,,,
650820,MAIDUGURI                     ,NIGERIA                         ,11.85,13.083,354,1,,,
651250,ABUJA                         ,NIGERIA                         ,9.25,7,344,1,,,
652020,OSHODI                        ,NIGERIA                         ,6.5,3.383,19,1,,,
652500,PORT HARCOURT INTL            ,NIGERIA                         ,5.015,6.95,26.5,1,,,
653300,PARAKOU                       ,BENIN                           ,9.35,2.617,393,1,,,
653870,GNASSINGBE EYADEMA INTL       ,TOGO                            ,6.166,1.255,21.9,0,,,
654180,TAMALE                        ,GHANA                           ,9.557,-0.863,168.6,0,,,
654420,KUMASI                        ,GHANA                           ,6.715,-1.591,287.1,0,,,
655360,KORHOGO                       ,COTE D'IVOIRE                   ,9.387,-5.557,370,0,,,
655630,YAMOUSSOUKRO                  ,COTE D'IVOIRE                   ,6.903,-5.366,213.1,0,,,
655780,ABIDJAN FELIX HOUPHOUET BOIGNY,COTE D'IVOIRE                   ,5.261,-3.926,6.4,0,,,
631600,BERBERA                       ,SOMALIA                         ,10.389,44.941,9.1,3,,,
636190,MOYALE LOWER (ODA)            ,KENYA                           ,3.533,39.05,1097,3,,,
600340,DAKHLA                        ,WESTERN SAHARA                  ,23.718,-15.932,6.1,0,,,
601150,ANGADS                        ,MOROCCO                         ,34.787,-1.924,467.9,0,,,
601350,SALE                          ,MOROCCO                         ,34.051,-6.752,84.1,0,塞拉,,
602650,OUARZAZATE                    ,MOROCCO                         ,30.939,-6.909,1153.1,0,,,
602800,GUELMIN                       ,MOROCCO                         ,29.017,-10.067,341,0,盖勒敏,,
603900,HOUARI BOUMEDIENE             ,ALGERIA                         ,36.691,3.215,25,1,,,
605710,BECHAR                        ,ALGERIA                         ,31.646,-2.27,811.1,1,,,
607150,CARTHAGE                      ,TUNISIA                         ,36.851,10.227,6.7,1,,,
612650,AMBODEDJO                     ,MALI                            ,14.513,-4.08,276.1,0,,,
614010,BIR MOGHREIN                  ,MAURITANIA                      ,25.237,-11.589,363.9,0,,,
614420,NOUAKCHOTT                    ,MAURITANIA                      ,18.098,-15.948,2.1,0,,,
614970,NEMA                          ,MAURITANIA                      ,16.622,-7.317,231,0,,,
616410,LEOPOLD SEDAR SENGHOR INTL    ,SENEGAL                         ,14.74,-17.49,25.9,0,,,
617070,JENOI                         ,GAMBIA  THE                     ,13.483,-15.567,11,0,,,
617330,FATOTO                        ,GAMBIA  THE                     ,13.883,-13.4,17.5,0,,,
617660,BISSAU OSWALDO VIEIRA INTL    ,GUINEA-BISSAU                   ,11.895,-15.654,39.3,0,,,
618090,LABE                          ,GUINEA                          ,11.326,-12.287,1035.1,0,,,
618290,KANKAN                        ,GUINEA                          ,10.383,-9.3,384,0,,,
618490,N'ZEREKORE/KONIA              ,GUINEA                          ,7.733,-8.833,470,0,,,
618560,FREETOWN LUNGI                ,SIERRA LEONE                    ,8.616,-13.195,25.6,0,,,
620160,MISURATA                      ,LIBYA                           ,32.417,15.05,32,2,,,
621030,GHADAMES EAST                 ,LIBYA                           ,30.152,9.715,342,2,,,
621610,JALO                          ,LIBYA                           ,29.033,21.567,60,2,,,
622710,KUFRA                         ,LIBYA                           ,24.179,23.314,416.7,2,,,
623050,SALLUM PLATEAU                ,EGYPT                           ,31.567,25.133,6,2,,,
623180,ALEXANDRIA INTL               ,EGYPT                           ,31.184,29.949,-1.8,2,,,
623660,CAIRO INTL                    ,EGYPT                           ,30.122,31.406,116.4,2,CAIRO,开罗,
624140,ASWAN INTL                    ,EGYPT                           ,23.964,32.82,201.8,2,ASWAN,阿斯旺,
624200,BAHARIA                       ,EGYPT                           ,28.333,28.867,130,2,,,
624320,DAKHLA                        ,EGYPT                           ,25.5,28.967,117,2,,,
624520,NEKHEL                        ,EGYPT                           ,29.917,33.733,403,2,,,
626000,HALFA (WADI)                  ,SUDAN                           ,21.817,31.483,183,3,,,
656600,MONROVIA ROBERTS INTL         ,LIBERIA                         ,6.234,-10.362,9.4,2,,,
619310,SAO TOME INTL                 ,SAO TOME AND PRINCIPE           ,0.378,6.712,10.1,0,,,
629410,JUBA                          ,SOUTH SUDAN                     ,4.872,31.601,468.8,3,,,
632000,ALULA                         ,SOMALIA                         ,11.95,50.733,2,3,,,
632300,GALCAYO                       ,SOMALIA                         ,6.85,47.267,302,3,,,
632600,MOGADISHU                     ,SOMALIA                         ,2.033,45.35,9,3,,,
636120,LODWAR                        ,KENYA                           ,3.122,35.609,522.7,3,,,
636240,MANDERA                       ,KENYA                           ,3.933,41.867,231,3,,,
636710,WAJIR                         ,KENYA                           ,1.733,40.092,234.7,3,,,
636950,MERU                          ,KENYA                           ,0.083,37.65,1554,3,,,
637050,ENTEBBE INTL                  ,UGANDA                          ,0.042,32.444,1152.8,3,,,
637080,KISUMU                        ,KENYA                           ,-0.086,34.729,1208.5,3,,,
637230,GARISSA                       ,KENYA                           ,-0.464,39.648,148,3,,,
637400,NAIROBI JKIA                  ,KENYA                           ,-1.319,36.928,1623.7,3,,,
637660,MAKINDU                       ,KENYA                           ,-2.283,37.833,1000,3,,,
637720,LAMU MANDA                    ,KENYA                           ,-2.252,40.913,6.1,3,,,
637930,VOI                           ,KENYA                           ,-3.4,38.567,579,3,,,
638200,MOMBASA MOI INTL              ,KENYA                           ,-4.035,39.594,61,3,,,
638320,TABORA AIRPORT                ,TANZANIA                        ,-5.083,32.833,1190,3,,,
638620,DODOMA                        ,TANZANIA                        ,-6.17,35.753,1119.5,3,,,
638810,SUMBAWANGA                    ,TANZANIA                        ,-7.967,31.63,1923,3,,,
638940,MWALIMU JULIUS K NYERERE INTL ,TANZANIA                        ,-6.878,39.203,55.5,3,,,
639003,SHINYANGA                     ,TANZANIA                        ,-3.5,33,1100,3,,,
639620,SONGEA                        ,TANZANIA                        ,-10.683,35.583,1067,3,,,
639710,MTWARA                        ,TANZANIA                        ,-10.339,40.182,113.1,3,,,
640050,MBANDAKA                      ,ZAIRE                           ,0.023,18.289,317,2,,,
640060,GEMENA                        ,ZAIRE                           ,3.235,19.771,420,2,,,
640085,BANGOKA INTL                  ,ZAIRE                           ,0.482,25.338,431.9,2,,,
640620,ISIRO                         ,ZAIRE                           ,2.767,27.65,806,2,,,
642470,MBUJI-MAYI                    ,ZAIRE                           ,-6.167,23.617,633,2,,,
643150,KAMINA BASE                   ,ZAIRE                           ,-8.642,25.253,1079.9,2,,,
643600,LUBUMBASHI INTL               ,ZAIRE                           ,-11.591,27.531,1309.1,2,,,
643800,KAMEMBE                       ,RWANDA                          ,-2.467,28.917,1587.4,2,,,
643870,KIGALI INTL                   ,RWANDA                          ,-1.969,30.139,1481,2,,,
643900,BUJUMBURA INTL                ,BURUNDI                         ,-3.324,29.319,787,2,,,
644000,POINTE NOIRE                  ,CONGO                           ,-4.816,11.887,16.8,1,,,
644030,MAKABANA                      ,CONGO                           ,-3.483,12.617,161,1,,,
644500,MAYA MAYA                     ,CONGO                           ,-4.252,15.253,319.4,1,,,
644540,GAMBOMA                       ,CONGO                           ,-1.867,15.867,377,1,,,
644560,MAKOUA                        ,CONGO                           ,-0.017,15.65,380,1,,,
644580,OUESSO                        ,CONGO                           ,1.616,16.038,353,1,,,
644590,IMPFONDO                      ,CONGO                           ,1.617,18.067,326,1,,,
644600,SOUANKE                       ,CONGO                           ,2.067,14.133,550,1,,,
645000,LEON M BA                     ,GABON                           ,0.459,9.412,11.9,1,,,
645700,FRANCEVILLE MVENGUE           ,GABON                           ,-1.667,13.4,444,1,,,
646000,BERBERATI                     ,CENTRAL AFRICAN REPUBLIC        ,4.222,15.786,588,1,,,
648100,MALABO                        ,EQUATORIAL GUINEA               ,3.755,8.709,23.2,1,,,
648200,BATA (RIO MUNI)               ,EQUATORIAL GUINEA               ,1.9,9.8,8,1,,,
649500,YAOUNDE NSIMALEN              ,CAMEROON                        ,3.723,11.553,694.3,1,,,
670020,PRINCE SAID IBRAHIM           ,COMOROS                         ,-11.534,43.272,28.3,3,,,
672370,NAMPULA                       ,MOZAMBIQUE                      ,-15.106,39.282,440.1,2,,,
672500,SONGO                         ,MOZAMBIQUE                      ,-15.6,32.767,882,2,,,
672830,QUELIMANE                     ,MOZAMBIQUE                      ,-17.856,36.869,11,2,,,
674230,KARONGA                       ,MALAWI                          ,-9.954,33.893,538,2,,,
674850,MZIMBA                        ,MALAWI                          ,-11.883,33.617,1351,2,,,
675860,LILONGWE INTL                 ,MALAWI                          ,-13.789,33.781,1261,2,,,
676930,CHILEKA INTL                  ,MALAWI                          ,-15.679,34.974,778.8,2,,,
619720,ILE EUROPA                    ,EUROPA ISLAND                   ,-22.333,40.333,6,3,,,
661600,LUANDA 4 DE FEVEREIRO         ,ANGOLA                          ,-8.858,13.231,74.1,1,,,
662850,LUENA                         ,ANGOLA                          ,-11.768,19.898,1328.9,1,,,
663180,HUAMBO                        ,ANGOLA                          ,-12.809,15.761,1702.9,1,,,
664470,MAVINGA                       ,ANGOLA                          ,-15.833,20.35,1088,1,,,
664600,PEREIRA DE ECA                ,ANGOLA                          ,-17.083,15.733,1109,1,,,
670050,DZAOUDZI PAMANDZI             ,MAYOTTE                         ,-12.805,45.281,7,3,,,
670090,ARRACHART                     ,MADAGASCAR                      ,-12.349,49.292,114,3,,,
670270,PHILIBERT TSIRANANA           ,MADAGASCAR                      ,-15.667,46.352,26.5,3,,,
670850,ANTANANARIVO / VILLE          ,MADAGASCAR                      ,-18.867,47.5,1310,3,,,
670950,TOAMASINA                     ,MADAGASCAR                      ,-18.11,49.393,6.7,3,,,
671170,MORONDAVA                     ,MADAGASCAR                      ,-20.285,44.318,9.1,3,,,
671370,FIANARANTSOA                  ,MADAGASCAR                      ,-21.442,47.112,1115,3,,,
671610,TOLIARA                       ,MADAGASCAR                      ,-23.383,43.728,8.8,3,,,
671970,TOLAGNARO                     ,MADAGASCAR                      ,-25.038,46.956,8.8,3,,,
672970,BEIRA                         ,MOZAMBIQUE                      ,-19.796,34.908,10.1,2,,,
673410,MAPUTO                        ,MOZAMBIQUE                      ,-25.921,32.573,44.2,2,,,
674750,KASAMA                        ,ZAMBIA                          ,-10.217,31.133,1384,2,,,
676330,MONGU                         ,ZAMBIA                          ,-15.255,23.162,1063.1,2,,,
676650,LUSAKA INTL                   ,ZAMBIA                          ,-15.333,28.45,1151.8,2,,,
677750,HARARE INTL                   ,ZIMBABWE                        ,-17.932,31.093,1489.6,2,,,
679510,PLUMTREE                      ,ZIMBABWE                        ,-20.483,27.8,1390,2,,,
679770,BUFFALO RANGE                 ,ZIMBABWE                        ,-21.008,31.579,433.1,2,,,
680040,OTJIWARONGO                   ,NAMIBIA                         ,-20.43,16.67,1475,1,,,
680320,MAUN                          ,BOTSWANA                        ,-19.973,23.431,942.7,2,,,
681100,WINDHOEK/EROS(SAAF)           ,NAMIBIA                         ,-22.567,17.1,1725,1,,,
681820,LEVUBU                        ,SOUTH AFRICA                    ,-23.083,30.283,706,2,,,
682440,GABORONE                      ,BOTSWANA                        ,-24.667,25.917,1000,2,,哈博罗内,
683000,LUDERITZ (DIAZ POINT)         ,NAMIBIA                         ,-26.683,15.25,139,1,,科尔芒斯科普,
683120,KEETMANSHOOP                  ,NAMIBIA                         ,-26.54,18.111,1068.6,1,,基特曼斯胡普,
683220,TWEE RIVIEREN                 ,SOUTH AFRICA                    ,-26.467,20.617,879,2,,哈拉哈迪跨国公园野营地,
683680,JOHANNESBURG INTL             ,SOUTH AFRICA                    ,-26.139,28.246,1694.1,2,JOHANNESBURG,约翰内斯堡,
684080,PORT NOLLOTH                  ,SOUTH AFRICA                    ,-29.233,16.867,10,2,,诺洛斯港,
684160,POFADDER                      ,SOUTH AFRICA                    ,-29.133,19.383,990,2,POFADDER                      ,波法德尔,
684240,UPINGTON                      ,SOUTH AFRICA                    ,-28.399,21.26,850.7,2,,伯尔特方丹,
684420,BLOEMFONTEIN INTL             ,SOUTH AFRICA                    ,-29.093,26.302,1358.8,2,,布隆方丹,
684540,MEJAMETALANA                  ,LESOTHO                         ,-29.304,27.503,1556,2,MASERU,马塞卢,
684560,QACHA'S NEK                   ,LESOTHO                         ,-30.067,28.7,1970,2,,,
685880,DURBAN INTL                   ,SOUTH AFRICA                    ,-29.97,30.951,10.1,2,DURBAN,德班,
687270,BEAUFORT WEST                 ,SOUTH AFRICA                    ,-32.35,22.55,899,2,,博福特西,
688170,CAPE TOWN - PORTNET           ,SOUTH AFRICA                    ,-33.9,18.433,2,2,CAPE TOWN,开普敦,
688420,PORT ELIZABETH INTL           ,SOUTH AFRICA                    ,-33.985,25.617,68.9,2,PORT ELIZABETH,伊丽莎白港,
689200,CAPE AGULHAS                  ,SOUTH AFRICA                    ,-34.833,20.017,14,2,AGULHAS,阿古拉斯,
531490,MANDAL                        ,CHINA        ,42.5333333,110.1333333,1223,8,MANDULA,满都拉,
535430,DONGSHENG                     ,CHINA        ,39.8333333,109.9833333,1459,8,EERDUOSI,鄂尔多斯,
723840,MEADOWS FIELD AIRPORT         ,UNITED STATES,35.4344,-119.0542,149.05,-8,BAKERSFIELD,贝克斯菲尔德,
723860,MCCARRAN INTERNATIONAL AIRPORT,UNITED STATES,36.0719,-115.1634,664.46,-8,LAS VEGAS,,
979000,SAUMLAKI,INDONESIA              ,-7.9833333,131.3,24,9,萨温拉基,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
